Time	Amplitude
 (1.470000000000000000e+03+0.000000000000000000e+00j)	 (5.185032511269223321e-02+2.368288293788924637e-01j)
 (1.480000000000000000e+03+0.000000000000000000e+00j)	 (2.958991039563866471e-02+2.406258311974894259e-01j)
 (1.490000000000000000e+03+0.000000000000000000e+00j)	 (7.072772150042323791e-03+2.423351648610959364e-01j)
 (1.500000000000000000e+03+0.000000000000000000e+00j)	 (-1.550573107425417055e-02+2.419419999409580246e-01j)
 (1.510000000000000000e+03+0.000000000000000000e+00j)	 (-3.794970829104413190e-02+2.394497472741182742e-01j)
 (1.520000000000000000e+03+0.000000000000000000e+00j)	 (-6.006443562705044564e-02+2.348800293751163171e-01j)
 (1.530000000000000000e+03+0.000000000000000000e+00j)	 (-8.165804574581869701e-02+2.282724928432305067e-01j)
 (1.540000000000000000e+03+0.000000000000000000e+00j)	 (-1.025431924887744567e-01+2.196844643927665097e-01j)
 (1.550000000000000000e+03+0.000000000000000000e+00j)	 (-1.225386762910129074e-01+2.091904534906187385e-01j)
 (1.560000000000000000e+03+0.000000000000000000e+00j)	 (-1.414710162697039308e-01+1.968815059161718728e-01j)
 (1.570000000000000000e+03+0.000000000000000000e+00j)	 (-1.591759553456560394e-01+1.828644138520081619e-01j)
 (1.580000000000000000e+03+0.000000000000000000e+00j)	 (-1.754998853395939307e-01+1.672607893586202654e-01j)
 (1.590000000000000000e+03+0.000000000000000000e+00j)	 (-1.903011796789789434e-01+1.502060092716238360e-01j)
 (1.600000000000000000e+03+0.000000000000000000e+00j)	 (-2.034514221527818356e-01+1.318480406754980738e-01j)
 (1.610000000000000000e+03+0.000000000000000000e+00j)	 (-2.148365210535039815e-01+1.123461571439979406e-01j)
 (1.620000000000000000e+03+0.000000000000000000e+00j)	 (-2.243576990401021654e-01+9.186955688511309892e-02j)
 (1.630000000000000000e+03+0.000000000000000000e+00j)	 (-2.319323501337348381e-01+7.059589477950195535e-02j)
 (1.640000000000000000e+03+0.000000000000000000e+00j)	 (-2.374947564109799458e-01+4.870974104843120434e-02j)
 (1.650000000000000000e+03+0.000000000000000000e+00j)	 (-2.409966581764593219e-01+2.640097992376402511e-02j)
 (1.660000000000000000e+03+0.000000000000000000e+00j)	 (-2.424076726679902927e-01+3.863162213158143326e-03j)
 (1.670000000000000000e+03+0.000000000000000000e+00j)	 (-2.417155576615367951e-01-1.870817394642658449e-02j)
